"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 14 13:11:30 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","193","","com.bestbuy.playground.tests.products.get_product.GetProductsTest","","com.bestbuy.playground.tests.products.get_product.GetProductsTest","ShouldReturnAllProducts","ShouldReturnAllProducts()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","110","","com.bestbuy.playground.tests.services.delete_service.DeleteServiceTest","","com.bestbuy.playground.tests.services.delete_service.DeleteServiceTest","ShouldDeleteService","ShouldDeleteService()",""
"passed","Sun Jun 14 13:11:30 CEST 2020","Sun Jun 14 13:11:30 CEST 2020","209","","com.bestbuy.playground.tests.products.add_product.AddProductTest","","com.bestbuy.playground.tests.products.add_product.AddProductTest","ShouldAddProductAndVerify","ShouldAddProductAndVerify()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","40","","com.bestbuy.playground.tests.services.get_service.GetServicesTest","","com.bestbuy.playground.tests.services.get_service.GetServicesTest","ShouldGetAllServicesList","ShouldGetAllServicesList()",""
"passed","Sun Jun 14 13:11:30 CEST 2020","Sun Jun 14 13:11:30 CEST 2020","73","","com.bestbuy.playground.tests.products.delete_product.DeleteProductTest","","com.bestbuy.playground.tests.products.delete_product.DeleteProductTest","ShouldDeleteProduct","ShouldDeleteProduct()",""
"passed","Sun Jun 14 13:11:30 CEST 2020","Sun Jun 14 13:11:30 CEST 2020","29","","com.bestbuy.playground.tests.products.get_product.GetProductsTest","","com.bestbuy.playground.tests.products.get_product.GetProductsTest","ShouldReturnProductWithSpecificId","ShouldReturnProductWithSpecificId()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","115","","com.bestbuy.playground.tests.products.update_product.UpdateProductTest","","com.bestbuy.playground.tests.products.update_product.UpdateProductTest","ShouldUpdateProduct","ShouldUpdateProduct()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","38","","com.bestbuy.playground.tests.services.get_service.GetServicesTest","","com.bestbuy.playground.tests.services.get_service.GetServicesTest","ShouldGetServiceById","ShouldGetServiceById()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","60","","com.bestbuy.playground.tests.services.update_service.UpdateServiceTest","","com.bestbuy.playground.tests.services.update_service.UpdateServiceTest","ShouldUpdateService","ShouldUpdateService()",""
"passed","Sun Jun 14 13:11:31 CEST 2020","Sun Jun 14 13:11:31 CEST 2020","68","","com.bestbuy.playground.tests.services.add_service.AddServiceTest","","com.bestbuy.playground.tests.services.add_service.AddServiceTest","ShouldAddServiceAndVerify","ShouldAddServiceAndVerify()",""
